burned;dim;empty;finalTime;forest;simulations
1;20;0.9;100;27;"2_execution_dim_20_empty_0.9_"
1;20;0.9;100;50;"3_execution_dim_20_empty_0.9_"
1;20;0.91;100;42;"1_execution_dim_20_empty_0.91_"
1;20;0.91;100;38;"2_execution_dim_20_empty_0.91_"
3;20;0.91;100;22;"3_execution_dim_20_empty_0.91_"
5;20;0.92;100;36;"1_execution_dim_20_empty_0.92_"
1;20;0.92;100;34;"2_execution_dim_20_empty_0.92_"
2;20;0.92;100;24;"3_execution_dim_20_empty_0.92_"
2;20;0.93;100;28;"1_execution_dim_20_empty_0.93_"
1;20;0.93;100;30;"2_execution_dim_20_empty_0.93_"
1;20;0.93;100;23;"3_execution_dim_20_empty_0.93_"
1;20;0.94;100;24;"1_execution_dim_20_empty_0.94_"
1;20;0.94;100;25;"2_execution_dim_20_empty_0.94_"
1;20;0.94;100;15;"3_execution_dim_20_empty_0.94_"
1;20;0.95;100;26;"1_execution_dim_20_empty_0.95_"
1;20;0.95;100;31;"2_execution_dim_20_empty_0.95_"
1;20;0.95;100;17;"3_execution_dim_20_empty_0.95_"
1;20;0.96;100;18;"1_execution_dim_20_empty_0.96_"
1;20;0.96;100;26;"2_execution_dim_20_empty_0.96_"
1;20;0.96;100;15;"3_execution_dim_20_empty_0.96_"
1;20;0.97;100;14;"1_execution_dim_20_empty_0.97_"
1;20;0.97;100;11;"2_execution_dim_20_empty_0.97_"
1;20;0.97;100;12;"3_execution_dim_20_empty_0.97_"
1;20;0.98;100;6;"1_execution_dim_20_empty_0.98_"
1;20;0.98;100;5;"2_execution_dim_20_empty_0.98_"
1;20;0.98;100;11;"3_execution_dim_20_empty_0.98_"
1;20;0.99;100;5;"1_execution_dim_20_empty_0.99_"
1;20;0.99;100;2;"2_execution_dim_20_empty_0.99_"
1;20;0.99;100;4;"3_execution_dim_20_empty_0.99_"
